Product,Brand,Price,Size,Price per Unit,Calories,Fat,,,Cholestrol,Sodium,Carbs,,,Protein,Vitamin D,Calcium,Iron,Potassium
Beef Loin Top Sirloin (Boneless Cap Off USDA Choice Grade (sold per lb.)),Kirkland Signature,$7.29,1 lb,$7.29/lb,207,12.00g,4.80g,0.50g,78.00mg,84.00mg,0.00g,0.00g,0.00g,23.00g,0.20mcg,17.00mg,1.50mg,285.60mg
Beef Mandu (Beef Bulgogi),CJ Bibigo,$11.99,3 lb,$4.00/lb,280,9.00g,3.50g,0.50g,35.00mg,660.00mg,34.00g,1.00g,5.00g,15.00g,0%,4%,15%,0%
Beef Pot Roast,Ruprecht's Company,$7.99,1 lb,$7.99/lb,257,16.00g,6.50g,0.60g,102.00mg,43.00mg,0.00g,0.00g,0.00g,26.00g,0.30mcg,14.00mg,2.20mg,205.70mg
Beef Ribeye Roast (sold per lb.),Kirkland Signature,$11.99,1 lb,$11.99/lb,660,49.40g,1.50g,0.00g,0.00mg,0.00mg,0.00g,0.00g,0.00g,54.00g,0.00mcg,0.00mg,0.00mg,0.00mg
Beef Ribeye Steak (Boneless USDA Choice),Kirkland Signature,$11.99,1 lb,$11.99/lb,260,19.00g,8.00g,1.00g,85.00mg,55.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,10.00mg,1.80mg,290.00mg
Beef Ribeye Steak (Boneless USDA Prime - sold per lb.),Kirkland Signature,$15.99,1 lb,$15.99/lb,260,19.00g,8.00g,1.00g,85.00mg,55.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,10.00mg,1.80mg,290.00mg
Beef Ribeye Whole (Boneless USDA Choice (sold per lb.)),Kirkland Signature,$11.89,1 lb,$11.89/lb,260,19.00g,8.00g,1.00g,85.00mg,55.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,10.00mg,1.80mg,290.00mg
Beef Round Eye (Round Roast USDA Choice (sold per lb.)),Kirkland Signature,$5.69,1 lb,$5.69/lb,190,10.00g,40.00g,0.00g,80.00mg,60.00mg,0.00g,0.00g,0.00g,24.00g,0%,0%,10%,0%
Beef Round Top Round (sold per lb.),Kirkland Signature,$5.99,1 lb,$5.99/lb,173,7.70g,2.90g,0.30g,77.00mg,35.00mg,0.00g,0.00g,0.00g,26.00g,0.10mcg,6.00mg,2.20mg,214.20mg
Beef Sausage (Organic (price per pound)) [Organic],Kiolbassa Provision,$8.99,1 lb,$8.99/lb,304,28.00g,11.00g,1.00g,62.00mg,617.00mg,0.00g,0.00g,0.00g,12.00g,0.50mcg,11.00mg,1.10mg,175.50mg
Beef Short Ribs (Braised Beef Shot Ribs with Sesame BBQ (sold per lb.)),Ruprecht's,$11.99,1 lb,$11.99/lb,259,19.00g,8.50g,1.20g,85.00mg,60.00mg,0.00g,0.00g,0.00g,22.00g,0.10mcg,12.00mg,2.30mg,203.20mg
Beef Snack Stick (Beef Snack Sticks),Greenridge Farms,$15.79,(3 Pack) 12 oz,$0.44/oz,180,16.00g,6.00g,0.00g,50.00mg,550.00mg,1.00g,0.00g,1.00g,11.00g,0.00mcg,16.00mg,1.00mg,185.00mg
Beef Stew Meat (sold per lb. - USDA Choice),Kirkland Signature,$4.99,1 lb,$4.99/lb,162,5.80g,2.40g,0.30g,84.00mg,57.00mg,0.00g,0.00g,0.00g,28.00g,0.10mcg,14.00mg,2.50mg,271.20mg
